price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
14.72,44.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,886,4.6,Gary Chapman,Paperback,2009.0,Non Fiction
33.99,45.0,Watchmen,"7,746",4.8,Alan Moore,Paperback,2009.0,Fiction
19.99,46.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"1,676",4.6,Stephen R. Covey,Paperback,2009.0,Non Fiction
25.0,47.0,The Book of Basketball: The NBA According to The Sports Guy,"1,387",4.7,Bill Simmons,Hardcover,2009.0,Non Fiction
16.0,48.0,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",60,4.6,Zhi Gang Sha,Hardcover,2009.0,Non Fiction
21.98,51.0,Diary of a Wimpy Kid Do-it-yourself Book,"9,371",4.8,Jeff Kinney,Hardcover,2009.0,Fiction
15.71,52.0,Open: An Autobiography,"8,639",4.7,Andre Agassi,Hardcover,2009.0,Non Fiction
9.78,53.0,Pride and Prejudice and Zombies,"2,047",4.3,Jane Austen,Paperback,2009.0,Fiction
10.95,54.0,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,888,4.3,"Lifetime Television,",Paperback,2009.0,Non Fiction
9.54,55.0,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,901,4.4,Lisa Lillien,Paperback,2009.0,Non Fiction
18.49,56.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","11,833",4.7,Christopher McDougall,Hardcover,2009.0,Non Fiction
7.96,57.0,A Bold Fresh Piece of Humanity,764,4.7,Bill O'Reilly,Hardcover,2009.0,Non Fiction
14.52,58.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,477",4.8,Ree Drummond,Hardcover,2009.0,Non Fiction
6.99,59.0,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2009.0,Fiction
15.85,60.0,South of Broad,"2,484",4.5,Pat Conroy,Hardcover,2009.0,Fiction
10.33,61.0,The Omnivore's Dilemma: A Natural History of Four Meals,"3,678",4.6,Michael Pollan,Paperback,2009.0,Non Fiction
20.58,62.0,The Host,"9,715",4.6,Stephenie Meyer,Hardcover,2009.0,Fiction
9.79,63.0,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,929,4.3,Jillian Michaels,Hardcover,2009.0,Non Fiction
11.3,64.0,Ford County: Stories,"4,306",4.4,John Grisham,Hardcover,2009.0,Fiction
9.06,65.0,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies","1,094",4.6,Michelle Malkin,Hardcover,2009.0,Non Fiction
11.04,66.0,Blink: The Power of Thinking Without Thinking,"8,638",4.5,Malcolm Gladwell,Paperback,2009.0,Non Fiction
16.97,67.0,"Diary of a Wimpy Kid, Book 1","16,590",4.8,Jeff Kinney,Hardcover,2009.0,Fiction
15.2,68.0,The Graveyard Book,"7,133",4.7,Neil Gaiman,Hardcover,2009.0,Fiction
28.99,69.0,An Echo in the Bone (Outlander),"16,893",4.8,Diana Gabaldon,Hardcover,2009.0,Fiction
19.81,70.0,"The Gathering Storm (Wheel of Time, Book 12)","6,337",4.8,Robert Jordan,Hardcover,2009.0,Fiction
16.99,71.0,Dreams from My Father: A Story of Race and Inheritance,"7,581",4.7,Barack Obama,Paperback,2009.0,Non Fiction
14.49,72.0,Pirate Latitudes: A Novel,"2,837",4.3,Michael Crichton,Hardcover,2009.0,Fiction
6.21,73.0,The Official SAT Study Guide: For the New SAT (tm),267,4.5,The College Board,Paperback,2009.0,Non Fiction
24.95,74.0,Getting Things Done: The Art of Stress-Free Productivity,"4,736",4.6,David Allen,Paperback,2009.0,Non Fiction
10.5,75.0,How to Win Friends & Influence People,"79,094",4.7,Dale Carnegie,Paperback,2009.0,Non Fiction
41.0,76.0,The Official SAT Study Guide,"1,526",4.4,The College Board,Paperback,2009.0,Non Fiction
14.01,77.0,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),"3,294",4.6,Janet Evanovich,Hardcover,2009.0,Fiction
10.83,78.0,Sarah's Key,"4,784",4.6,Tatiana de Rosnay,Paperback,2009.0,Fiction
7.99,79.0,From Dead to Worse (Sookie Stackhouse/True Blood),"2,080",4.7,Charlaine Harris,Mass Market Paperback,2009.0,Fiction
34.23,80.0,Wolf Hall,"10,808",4.1,Hilary Mantel,Hardcover,2009.0,Fiction
22.6,81.0,The Hunger Games,"42,770",4.7,Suzanne Collins,Hardcover,2009.0,Fiction
13.2,82.0,The Yankee Years,425,4.6,Joe Torre,Hardcover,2009.0,Non Fiction
23.95,83.0,Push: A Novel,"1,477",4.6,Sapphire,Paperback,2009.0,Fiction
14.95,84.0,The End of Overeating: Taking Control of the Insatiable American Appetite,956,4.3,David Kessler,Hardcover,2009.0,Non Fiction
11.52,85.0,The Lacuna: A Novel,"1,787",4.3,Barbara Kingsolver,Hardcover,2009.0,Fiction
17.99,86.0,Crucial Conversations: Tools for Talking When Stakes are High,772,4.5,Kerry Patterson,Paperback,2009.0,Non Fiction
10.97,87.0,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,"2,194",4.7,Nicholas D. Kristof,Hardcover,2009.0,Non Fiction
11.95,88.0,The Associate,"3,826",4.4,John Grisham,Hardcover,2009.0,Fiction
22.72,89.0,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,"2,189",4.7,Jeff Hertzberg,Hardcover,2009.0,Non Fiction
9.99,90.0,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),312,4.5,Sarah Thomson,Paperback,2009.0,Non Fiction
9.31,91.0,Pursuit of Honor,"3,525",4.7,Vince Flynn,Hardcover,2009.0,Fiction
23.65,92.0,What the Dog Saw: And Other Adventures,"2,143",4.6,Malcolm Gladwell,Hardcover,2009.0,Non Fiction
13.99,93.0,The Last Song,"3,597",4.7,Nicholas Sparks,Hardcover,2009.0,Fiction
