price,date,product,market,measurement
1850.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Khuchit Shonkhor,kilogram
1780.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Max/M Mart,kilogram
1800.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Mercury/Ikh Nayad,kilogram
1799.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Nomin,kilogram
1780.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Orgil,kilogram
1750.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Sansar,kilogram
1700.0,2019-01-02,"Altan Taria Packaged Flour, Top Grade",Tavan Erdene,kilogram
4000.0,2019-01-02,"Apple, Fuji",Bars,kilogram
4500.0,2019-01-02,"Apple, Fuji",Bayanzurkh,kilogram
4500.0,2019-01-02,"Apple, Fuji",Bumbugur,kilogram
4000.0,2019-01-02,"Apple, Fuji",Kharkhorin,kilogram
4000.0,2019-01-02,"Apple, Fuji",Khuchit Shonkhor,kilogram
4500.0,2019-01-02,"Apple, Fuji",Max/M Mart,kilogram
4199.0,2019-01-02,"Apple, Fuji",Nomin,kilogram
4800.0,2019-01-02,"Apple, Fuji",Orgil,kilogram
4500.0,2019-01-02,"Apple, Fuji",Sansar,kilogram
4500.0,2019-01-02,"Apple, Fuji",Tavan Erdene,kilogram
1200.0,2019-01-02,Atar Brand Bread,Bars,each
1200.0,2019-01-02,Atar Brand Bread,Bayanzurkh,each
1200.0,2019-01-02,Atar Brand Bread,Bumbugur,each
1310.0,2019-01-02,Atar Brand Bread,Emart,each
1200.0,2019-01-02,Atar Brand Bread,Kharkhorin,each
1250.0,2019-01-02,Atar Brand Bread,Khuchit Shonkhor,each
1310.0,2019-01-02,Atar Brand Bread,Max/M Mart,each
1300.0,2019-01-02,Atar Brand Bread,Mercury/Ikh Nayad,each
1239.0,2019-01-02,Atar Brand Bread,Nomin,each
1240.0,2019-01-02,Atar Brand Bread,Orgil,each
1320.0,2019-01-02,Atar Brand Bread,Sansar,each
1250.0,2019-01-02,Atar Brand Bread,Tavan Erdene,each
10000.0,2019-01-02,Beef Boneless,Bars,kilogram
10000.0,2019-01-02,Beef Boneless,Bayanzurkh,kilogram
10000.0,2019-01-02,Beef Boneless,Bumbugur,kilogram
10200.0,2019-01-02,Beef Boneless,Emart,kilogram
9500.0,2019-01-02,Beef Boneless,Kharkhorin,kilogram
10000.0,2019-01-02,Beef Boneless,Khuchit Shonkhor,kilogram
10500.0,2019-01-02,Beef Boneless,Max/M Mart,kilogram
12000.0,2019-01-02,Beef Boneless,Mercury/Ikh Nayad,kilogram
10299.0,2019-01-02,Beef Boneless,Nomin,kilogram
10500.0,2019-01-02,Beef Boneless,Tavan Erdene,kilogram
8500.0,2019-01-02,Beef w/Bones,Bars,kilogram
8000.0,2019-01-02,Beef w/Bones,Bayanzurkh,kilogram
8500.0,2019-01-02,Beef w/Bones,Bumbugur,kilogram
8900.0,2019-01-02,Beef w/Bones,Emart,kilogram
7500.0,2019-01-02,Beef w/Bones,Kharkhorin,kilogram
8500.0,2019-01-02,Beef w/Bones,Khuchit Shonkhor,kilogram
9500.0,2019-01-02,Beef w/Bones,Mercury/Ikh Nayad,kilogram
9299.0,2019-01-02,Beef w/Bones,Nomin,kilogram
8500.0,2019-01-02,Beef w/Bones,Tavan Erdene,kilogram
